Parameter,Cal Stats,ReCal Stats,Diff Stats
Frequency,"{'mean': '336713.96', 'median': '334551.50', 'sd': '26322.12', 'iqr': '33533.50'}","{'mean': '338555.50', 'median': '334551.50', 'sd': '20811.41', 'iqr': '24524.50'}","{'mean': '-1841.54', 'median': '0.00', 'sd': '5510.70', 'iqr': '9009.00'}"
Gain,"{'mean': '26.66', 'median': '26.50', 'sd': '0.38', 'iqr': '0.68'}","{'mean': '26.63', 'median': '26.48', 'sd': '0.36', 'iqr': '0.55'}","{'mean': '0.02', 'median': '0.02', 'sd': '0.02', 'iqr': '0.12'}"
SaCorrection,"{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}","{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}","{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}"
BeamWidthAlongship,"{'mean': '6.99', 'median': '7.13', 'sd': '0.56', 'iqr': '0.92'}","{'mean': '7.01', 'median': '7.21', 'sd': '0.47', 'iqr': '0.77'}","{'mean': '-0.03', 'median': '-0.08', 'sd': '0.09', 'iqr': '0.15'}"
BeamWidthAthwartship,"{'mean': '7.15', 'median': '7.38', 'sd': '0.51', 'iqr': '0.86'}","{'mean': '7.08', 'median': '7.20', 'sd': '0.40', 'iqr': '0.62'}","{'mean': '0.07', 'median': '0.18', 'sd': '0.11', 'iqr': '0.24'}"
AngleOffsetAlongship,"{'mean': '0.11', 'median': '0.12', 'sd': '0.06', 'iqr': '0.07'}","{'mean': '0.06', 'median': '0.09', 'sd': '0.07', 'iqr': '0.11'}","{'mean': '0.04', 'median': '0.04', 'sd': '-0.01', 'iqr': '-0.04'}"
AngleOffsetAthwartship,"{'mean': '-0.01', 'median': '-0.02', 'sd': '0.04', 'iqr': '0.03'}","{'mean': '-0.05', 'median': '-0.05', 'sd': '0.02', 'iqr': '0.03'}","{'mean': '0.04', 'median': '0.03', 'sd': '0.01', 'iqr': '-0.00'}"
TsRmsError,"{'mean': '0.1069', 'median': '0.1026', 'sd': '0.0203', 'iqr': '0.0268'}","{'mean': '0.1220', 'median': '0.1148', 'sd': '0.0232', 'iqr': '0.0233'}","{'mean': '-0.0151', 'median': '-0.0122', 'sd': '-0.0030', 'iqr': '0.0034'}"
Impedance,"{'mean': '75.00', 'median': '75.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '75.00', 'median': '75.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}"
Phase,"{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}"
